OrderDate,OrderID,CustomerName,GrandTotal,Email
10-04-2024,7473,Brent Garrett,292.04,hardikspatil17@gmail.com
17-01-2024,8074,George Henderson,288.7,fbanks@hotmail.com
18-04-2024,8013,Heather Sanchez,162.72,chelsealozano@hotmail.com
03-02-2024,9375,Ronnie Schroeder,189.54,hardidream111@gmail.com
25-05-2024,3032,Chad Floyd,342.36,snowscott@hotmail.com
08-04-2024,2876,Jennifer Christian,223.57,howardtiffany@dalton-gates.com
20-01-2024,9409,Leah Thompson DVM,228.62,ljohnson@hotmail.com
17-03-2024,3219,Patricia Dunlap,54.85,dmoon@stevens.com
03-03-2024,5413,Alexis Ramirez,192.48,oscar25@hotmail.com
31-03-2024,1841,Brenda Ramos,359.74,katie91@munoz.com
06-05-2024,1893,Jesse Maldonado,83.25,mlewis@smith-garcia.net
09-06-2024,1145,Oscar Wilson,136.58,michael22@collins.com
10-02-2024,3044,Tracey Watson,262.07,nashbetty@yahoo.com
27-04-2024,1512,Brent Garrett,391.1,hardikspatil17@gmail.com
16-05-2024,2727,Jennifer Williams,119.84,alisonramirez@yahoo.com
06-04-2024,2113,Peter Hampton,120.2,huffdonald@mack.info
06-05-2024,3631,Kristin Wang,452.85,keithking@zimmerman-dunn.com
24-05-2024,5941,Jennifer Thomas,493.96,bwoodard@hotmail.com
28-02-2024,4640,Henry Lopez,321.57,dana06@gmail.com
03-02-2024,4321,Brandon Brown,146.58,pchavez@sims.org
16-04-2024,1861,Sharon Craig,166.46,xhenderson@gmail.com
19-02-2024,4581,Maria Yoder,378.3,zsmith@hotmail.com
23-03-2024,6336,Randall Palmer,319.4,weeksjay@wu.com
04-01-2024,2088,John Fuentes,297.9,bradyboyd@hotmail.com
27-05-2024,7365,Shelby Roy,232.01,alexa21@hotmail.com
02-06-2024,1612,Angelica Lewis,300.55,cynthia25@hotmail.com
02-03-2024,3793,Dr. Melanie Sandoval,484.56,khanmelissa@hotmail.com
28-02-2024,3349,Wendy Martinez,217.73,joseph60@hotmail.com
27-03-2024,7386,Jessica Hughes,198.78,ipatterson@smith.com
21-04-2024,9895,Cody Dunn,279.1,randyhernandez@newman.com
05-05-2024,4865,Eric Howard,366.18,davidherrera@hotmail.com
10-02-2024,9132,Jonathan Hicks,144.67,derrickhale@yahoo.com
06-05-2024,9746,Dylan Martin,237.4,powellgeoffrey@ruiz-morrison.net
21-03-2024,2209,Craig Martinez,463.54,phillipsbarbara@turner.biz
13-05-2024,6495,Sabrina Simpson,281.3,eric68@hotmail.com
09-02-2024,8067,Melissa Torres,270.2,wilsoncarol@castro.biz
08-06-2024,1645,Olivia Wright,211.39,joshuabrown@robinson.com
16-03-2024,3525,Lonnie Leblanc,498.79,abennett@villanueva-rowland.info
10-03-2024,5492,Shawn Smith,227.99,cherylmiller@gmail.com
27-04-2024,9529,Paige Moore,280.29,littlecarlos@hotmail.com
26-03-2024,4718,Jordan Rodgers,105.45,kristinlynn@harris.net
28-03-2024,4918,Charles Sullivan,286,brooksjill@taylor.com
31-05-2024,1833,Adrian Perez,382.77,lisa06@yahoo.com
13-02-2024,6656,Raymond Hill,138.55,mark22@hodges.com
21-04-2024,5489,Kim Russell,476.02,hgill@garcia-joseph.com
07-05-2024,9183,Dana Cain,234.36,smithscott@roberts.info
20-02-2024,8355,Sara Clay,117.95,whitelinda@green.org
20-04-2024,6381,Daniel Allen,375.63,sarah84@yahoo.com
07-04-2024,6869,Daniel Wise,109.02,shannonbenjamin@green-salazar.net
29-05-2024,7008,Christopher Morgan,340.56,francesbrown@gmail.com
25-01-2024,1999,Kathryn Valentine,400.73,emilyross@hotmail.com
20-05-2024,9800,Robert Little,282.57,gmurray@gmail.com
29-02-2024,7267,Jessica Kirk,271.95,frankgregory@gmail.com
29-03-2024,6974,Molly Norman,235.38,stanleyjill@martinez.com
05-06-2024,7457,Derrick Smith,266.55,lambertdavid@adams.com
01-04-2024,5193,Keith Christian,258.07,batesjeffrey@yahoo.com
08-06-2024,3291,Stacey Smith,343.05,ahawkins@kim.com
01-06-2024,5385,Scott Higgins,178.24,jerryowens@reyes.org
22-05-2024,3452,Gary Osborn,364.43,turnerdavid@villegas.org
03-02-2024,8352,Cynthia Gonzales,423.36,williamsamber@yahoo.com
05-06-2024,5855,Kenneth Thompson,468.06,jennifer91@yahoo.com
21-02-2024,1995,Jennifer Pham,462.76,ramirezdeanna@hotmail.com
21-05-2024,1156,Brent Sims,301.16,veronica78@mccarthy-brown.com
03-01-2024,9910,Nicholas Oliver,148,carol80@yahoo.com
31-05-2024,6548,Roberto Mcmahon,443.63,fdelacruz@hotmail.com
08-05-2024,3697,Joshua Owens,482.23,christopherarnold@yahoo.com
01-05-2024,8421,Suzanne Rollins,434.82,danielsimmons@hotmail.com
09-01-2024,5945,Charles Berry,378.24,tgutierrez@freeman.com
22-05-2024,7974,Paula Garcia,202.59,leah13@yahoo.com
26-01-2024,3905,David Diaz,140.25,codom@thompson.org
14-03-2024,9572,Jennifer Carter,407.22,donnawallace@brady.com
02-04-2024,2163,Amy Lopez,282.39,kimberlymoore@yahoo.com
24-04-2024,6683,Joseph Zamora MD,343.52,lindamathis@medina.biz
09-04-2024,3551,Alejandra Mueller,112.22,gregoryjackson@gmail.com
11-05-2024,7564,Desiree Marshall,495.3,jclark@yahoo.com
17-02-2024,6351,Patrick Turner,238.34,pbrowning@yahoo.com
29-01-2024,1201,Erica Turner,393.7,uerickson@fuller.com
31-03-2024,8070,Stephanie Hudson,379.67,christine42@holt-gonzales.info
06-02-2024,8901,Lauren Blackwell,343.99,uthornton@mccormick.info
23-03-2024,3016,Mrs. Samantha Mendoza,483.29,laurenramirez@hotmail.com
04-01-2024,5880,Christopher Sanchez,438.92,gonzalezrachel@fowler.com
10-04-2024,4291,Darren Ross,277.62,imiller@gmail.com
01-06-2024,2706,Melanie Harris,288.95,william77@gmail.com
03-02-2024,9124,Diane Thomas,80.99,carteranne@irwin.com
08-02-2024,5716,David Sutton,499.17,michaelstewart@martin.com
05-01-2024,7134,Eric Holden,419.78,umartin@hotmail.com
27-03-2024,2280,Alicia Gill,461.6,kenneth79@yahoo.com
02-04-2024,3802,Katherine Lutz,91.46,dtorres@yahoo.com
04-02-2024,8957,Amy Frey,394.55,pittmanjoshua@gmail.com
16-04-2024,7071,Leah Johnson,290.83,hillregina@moore.com
08-05-2024,5460,Jeffrey Henson,172.58,daniel28@braun-barnes.org
21-02-2024,7024,Vanessa Yang,405.25,daniellehogan@johnson-arnold.com
10-01-2024,8812,Michael Perez,282.61,asullivan@stewart-wilson.info
03-06-2024,5307,Austin Hoffman,104.56,sadams@hotmail.com
20-03-2024,1798,Jennifer Anderson,489.84,tiffany04@hotmail.com
21-03-2024,4332,Jeffrey Terrell,233.47,qpatton@gmail.com
02-02-2024,9105,Jordan Rubio,359.39,aguirrekimberly@lambert.com
29-02-2024,3262,Nichole Velazquez MD,65.74,hgomez@hotmail.com
02-01-2024,8565,Maria Barton,119.97,david73@yahoo.com
17-02-2024,7256,Heather Dunn,206.53,zhughes@gmail.com
10-03-2024,8444,Ariel Harris,98.62,bmurray@robertson.com
13-05-2024,7551,Linda Lee,186.64,chelseaavila@alexander.com
07-03-2024,8744,Devin Nelson,88.38,andrea36@hotmail.com
07-02-2024,3557,Robert Rocha,386.81,rmoore@griffin.org
