Email,OrderDate,OrderID,CustomerName,GrandTotal
georgeshelton@livingston.com,24-01-2021,c37531ba-9632-4460-8a7d-fbdce253163b,Derrick Compton,923.16
odiaz@carr.com,08-02-2021,87888c8e-72fe-4c0b-a699-75c326494048,Christine Sanchez,429.97
tiffany74@yahoo.com,14-01-2021,a575d382-87ba-4e37-baf1-a4cd061ac325,Stephanie Lara,356.76
marieortiz@gmail.com,15-07-2021,ae21574f-d3e5-414f-ab4c-87189241dc4e,Andre Lee,720.89
bwest@ray-zimmerman.info,08-05-2023,b5a10758-6dab-40e8-aa84-4bc21ace4382,Kathy Stafford,732.83
jperez@solis.com,20-11-2020,2f19c2c5-7531-4c31-87c4-2084a042d85a,Brandon Salazar,556.11
lindawhitney@hotmail.com,01-02-2022,c19f1a6c-163e-4676-b7de-ef814ef329c9,Cynthia Rivas,681.22
muelleramanda@yahoo.com,01-12-2021,2831190d-9f41-4fd5-a52a-6ba94062b6ab,Christine Caldwell,603.81
kelly18@yahoo.com,17-08-2021,86801930-fd87-4bb8-aa71-84448305aa8e,Stephanie James,457.46
wallen@bell.com,30-01-2023,d741b098-1937-48b0-ad74-55b922de7d5a,Lauren Melton,305.33
christopher63@levine.info,29-04-2020,647a22c2-ee61-4426-b214-f8f170743d8f,Bill Mitchell,864.8
vasquezdonna@rodriguez.com,07-02-2022,e109fa46-eae9-40b1-8ac8-b1c307001d57,James Boyer,892.29
curtispowell@hotmail.com,21-10-2021,21e2064d-4811-4a1e-9117-1e1ebc2254d0,Jennifer Howard,747.28
uflores@hotmail.com,18-02-2020,30652d26-1a89-43e5-97d4-15e22a1efe53,Sara Campbell,658.86
smithpamela@hotmail.com,16-10-2023,6b4d6854-cd69-4bec-ad57-c208d4cd713c,Jessica Hall,656.61
alynn@henry-lambert.com,20-01-2024,f2c509fe-5c07-4728-a7ff-0497a47fff7f,Lisa Johnson,702.6
brittany03@hotmail.com,07-04-2024,0bfcbe5a-8186-48af-badc-4fb5932e07de,Lucas Taylor,484.03
rgonzalez@gmail.com,25-12-2022,5533be1d-7d76-4f26-898a-1b0a2fee4e67,Kelly Houston,179.27
garrettblake@jimenez.com,18-06-2022,351564ec-9c93-4823-a1a7-ecb95a81e0f0,Lisa Myers,578.34
michael07@hotmail.com,19-01-2020,00ff3775-0514-44ac-b8e2-d3a460ca7b41,Nicholas Buchanan,505.95
rwhitehead@yahoo.com,07-07-2020,8cdeeee5-23ad-4ad8-9bee-3afcda46837a,Debra Smith,991.34
darrenbarber@fitzpatrick-rodriguez.biz,17-04-2022,1ab363ac-415d-4a8f-b8d3-c8426162ea7d,Laurie Cabrera,190
heather04@martin-vaughn.com,03-09-2022,04d2c87e-ebc7-4451-8393-cbdbb1714764,Stephanie Clark,762.48
qarcher@daniel.com,11-01-2022,cf286a99-f6fb-4bb5-b1b4-022939f2903b,Mary Taylor,414.62
xbell@hines-stephens.com,27-03-2021,6eae71ac-5736-4aad-88ed-8f62c49199b1,Logan Price,104.05
stephanie73@cook.org,26-06-2023,fc0aff18-95f0-4be7-a79e-7bfefb579028,Mason Simmons,470.98
william93@best.com,18-10-2021,b400d1c8-29a5-4b55-abc2-9e7634ef1006,Joseph King,210.43
timothy10@gmail.com,21-12-2022,409edbca-61e8-4e99-bfc0-e1ea015556df,Robert Clark,542.18
hberry@yahoo.com,09-12-2021,2dde335a-3950-412b-a068-fe7e66d01b26,Melinda Pitts,591.09
ewilliams@gmail.com,25-03-2024,e5f0af53-1d84-4d68-8e2f-e6971ce9f501,William Maxwell,446.59
brownsara@hotmail.com,09-08-2021,1aef0dcb-cd78-4e86-a0bc-d391715e7f52,Sarah Whitehead,27.15
ryan58@hotmail.com,19-02-2020,13e46045-6ba2-4ab0-828a-46dafdae7144,Joseph Dougherty,116.68
courtney35@shaffer.com,31-12-2022,8a857895-4988-47cc-8f2f-ff895a38c14a,Lauren Conner,627.55
cindy36@booth.com,05-07-2022,4400fc01-1384-4b15-9f82-911406314239,Rachel Meyers,659.82
